name,address,is_active
LC JHR Bandar Dato Onn,"No. 34-01, Jalan Perjiranan 2, Bandar Dato Onn, 81100 Johor Bahru, Johor",1
LC JHR Kulaijaya,"GF, Unit 5024, Jalan Kenari 1, Bandar Putra, 81000 Kulai, Johor",1
LC JHR Senai,"21-01, Lot 107771, Jalan Senai 81400 Senai Johor",1
LC JHR Plentong,"Block K-01-06(Ground Floor), Jalan EJ 3/1, Taman Ehsan Jaya,81100 Johor Bahru, Johor",1
LC JHR Taman Mutiara Rini,"No 39A, Jalan Utama 34, Taman Mutiara Rini, 81300 Johor",1
LC JHR Medini,"S-15-02, Pusat Komersil Visi Medini, Persiaran Medini 2, 79250 Iskandar Puteri, Johor",1
LC JHR Segamat,"No.1 (Ground floor), Jalan putra 2/23, Bandar putra IOI 85000 Segamat, Johor",1
LC TRG Kampung Raja, Besut","Lot 61186a Taman D'Harah, Jalan Pengkalan Nyireh, Kg Terbak, Mukim Kampung Raja 22000 Besut Terengganu",1
LC SBH Sandakan Batu 1.5,"No 3, Batu 1.5, Jalan Utara, Jalan Chi Hwa, 90000 Sandakan, Sabah",1
LC SBH Sandakan Batu 7,"Lot 441, Taman megah, Jalan labuk, 90000 Sandakan Sabah",1
LC SBH Papar,"Lot 13, Tmn JB Villa PHS 2 Jln Bukit Manggis Kg Livagu 89600 Papar",1
LC SEL Kuala Selangor,"No 1/A, Jalan Melati 3/5, Bandar Melawati, 45000 Kuala Selangor, Selangor",1
LC SEL Kuala Selangor Ext,"No 44, Jalan Melati 3/25, Bandar Melawati 45000 Kuala Selangor",1
LC SEL Rahman Putra,"No 1, Jln BRP 7/1G, Bukit Rahman Putra, 47000 Sungai Buloh, Selangor",1
LC SEL Sungai Buloh,"Lot 73-1, Jalan Nautika A U20/A, Pusat Komesial TSB, 40160 Shah Alam, Selangor (Sungai Buloh)",1
LC SEL Denai Alam,"No 5-2, First Floor, Jalan Elektron F U16/F, Seksyen U16, 40160 Shah Alam, Selangor",1
LC SEL EC,"No. 4, Block C, Jalan Platinum 7/58, Seksyen 7 40000 Shah Alam Selangor",1
LC SEL Jalan Pualam,"No 2, Jalan Pualam 2 7/32B, Seksyen 7, 40000 Shah Alam, Selangor",1
LC SEL Jalan Pualam Ext,"M2-02, Blok 2, Tingkat 2 Kondominium Kristal Jalan Pualam 7/32, Seksyen 7 40000 Shah Alam, Selangor",1
LC SEL Seksyen 13,"No. 2-07-1 Blok 2 Presint Alami No. 2 Persiaran Akuatik, Seksyen 13, 40100 Shah Alam, Selangor",1
LC SEL Seksyen 19,"No 65-1, Jalan Nelayan A 19/A, Seksyen 19, 40400 Shah Alam, Selangor",1
